1f801000	EXP1_BASE_ADDR
1f801004	EXP2_BASE_ADDR
1f801008	EXP1_DELAY_SIZE
1f80100c	EXP3_DELAY_SIZE
1f801010	BIOS_ROM
1f801014	SPU_DELAY
1f801018	CDROM_DELAY
1f80101c	EXP2_DELAY_SIZE
1f801020	COMMON_DELAY
1f801040	JOY_MCD_DATA
1f801044	JOY_MCD_STAT
1f801048	JOY_MCD_MODE
1f80104a	JOY_MCD_CTRL
1f80104e	JOY_MCD_BAUD
1f801050	SIO_DATA
1f801054	SIO_STAT
1f801058	SIO_MODE
1f80105a	SIO_CTRL
1f80105c	SIO_MISC
1f80105e	SIO_BAUD
1f801060	RAM_SIZE
1f801070	I_STAT
1f801074	I_MASK
1f801080	DMA_MDEC_IN_MADR
1f801084	DMA_MDEC_IN_BCR
1f801088	DMA_MDEC_IN_CHCR
1f801090	DMA_MDEC_OUT_MADR
1f801094	DMA_MDEC_OUT_BCR
1f801098	DMA_MDEC_OUT_CHCR
1f8010a0	DMA_GPU_MADR
1f8010a4	DMA_GPU_BCR
1f8010a8	DMA_GPU_CHCR
1f8010b0	DMA_CDROM_MADR
1f8010b4	DMA_CDROM_BCR
1f8010b8	DMA_CDROM_CHCR
1f8010c0	DMA_SPU_MADR
1f8010c4	DMA_SPU_BCR
1f8010c8	DMA_SPU_CHCR
1f8010d0	DMA_PIO_MADR
1f8010d4	DMA_PIO_BCR
1f8010d8	DMA_PIO_CHCR
1f8010e0	DMA_OTC_MADR
1f8010e4	DMA_OTC_BCR
1f8010e8	DMA_OTC_CHCR
1f8010f0	DMA_DPCR
1f8010f4	DMA_DICR
1f801100	TMR_DOTCLOCK_VAL
1f801104	TMR_DOTCLOCK_MODE
1f801108	TMR_DOTCLOCK_MAX
1f801110	TMR_HRETRACE_VAL
1f801114	TMR_HRETRACE_MODE
1f801118	TMR_HRETRACE_MAX
1f801120	TMR_SYSCLOCK_VAL
1f801124	TMR_SYSCLOCK_MODE
1f801128	TMR_SYSCLOCK_MAX
1f801800	CDROM_REG0
1f801801	CDROM_REG1
1f801802	CDROM_REG2
1f801803	CDROM_REG3
1f801810	GPU_REG0
1f801814	GPU_REG1
1f801820	MDEC_REG0
1f801824	MDEC_REG1
1f801c00	VOICE_00_LEFT_RIGHT
1f801c04	VOICE_00_ADPCM_SAMPLE_RATE
1f801c06	VOICE_00_ADPCM_START_ADDR
