# Every parameter and local of the 442 debug functions.
# storage is from the DEMO build. Its local count/types are high-value
# codegen evidence, not a retail spec: helper/API changes can replace
# either, so retail access widths and callee ABI win.
# C_AUTO offsets are frame-pointer relative ($fp == $sp), so the real
# slot is sp + fsize + offset; we print the resolved sp+N.
# A name repeated inside one function is a distinct nested-block scope;
# depth is the lexical block nesting from the 0x90/0x92 records
# (1 = the function body), which is how you tell those apart.
#function	file	kind	storage	type	name	depth
InitLighting	3DCTRL.C	param	$a0	int	fogflag	0
SetupLighting	3DCTRL.C	param	$a0	short	id	0
SetupLighting	3DCTRL.C	param	$s2	short	r	0
SetupLighting	3DCTRL.C	param	$s3	short	g	0
SetupLighting	3DCTRL.C	param	$s4	short	b	0
SetupLighting	3DCTRL.C	param	stack+16	int	deg1	0
SetupLighting	3DCTRL.C	param	stack+20	int	deg2	0
SetupLighting	3DCTRL.C	stack	sp+16	struct MATRIX	mat	1
SetupLighting	3DCTRL.C	stack	sp+48	struct SVECTOR	vsou	1
SetupLighting	3DCTRL.C	stack	sp+56	struct VECTOR	vdest	1
EndDrawing	3DCTRL.C	param	$a0	short	sync	0
UpdateCoordinate	3DCTRL.C	param	$a0	struct ModelType *	dim	0
UpdateCoordinate2	3DCTRL.C	param	$a0	struct ModelType *	dim	0
GetAbsolutePosition	3DCTRL.C	param	$a0	struct ModelType *	model	0
GetAbsolutePosition	3DCTRL.C	param	$a1	short	x	0
GetAbsolutePosition	3DCTRL.C	param	$a2	short	y	0
GetAbsolutePosition	3DCTRL.C	param	$a3	short	z	0
GetAbsolutePosition	3DCTRL.C	stack	sp+16	struct MATRIX	mat	1
GetAbsolutePosition	3DCTRL.C	stack	sp+48	struct SVECTOR	offset	1
DrawClip	3DCTRL.C	param	$a0	struct ModelType *	objp	0
DrawClip	3DCTRL.C	param	$a1	long *	xy	0
DrawClip	3DCTRL.C	stack	sp+16	short [2]	rxy	1
LoadModel	3DCTRL.C	param	$a0	unsigned long *	adr	0
DrawModel	3DCTRL.C	param	$s1	struct ModelType *	objp	0
DrawModel	3DCTRL.C	stack	sp+16	struct MATRIX	mat	1
DrawModel	3DCTRL.C	reg	$s1	struct ModelType *	objp	2
DrawModel	3DCTRL.C	reg	$v1	long	sz	3
DrawModel	3DCTRL.C	reg	$s0	short	atr	3
DrawModel	3DCTRL.C	stack	sp+48	short [2]	rxy	3
DisposeModel	3DCTRL.C	param	$a0	struct ModelType *	objp	0
CreateCloneModel	3DCTRL.C	param	$a0	struct ModelType *	objp	0
LoadModelArchive	3DCTRL.C	param	$s0	unsigned long *	adr	0
LoadModelArchive	3DCTRL.C	param	$s6	struct ModelType *	prnt	0
LoadModelArchive	3DCTRL.C	reg	$a3	struct ModelType *	dim	1
LoadModelArchive	3DCTRL.C	reg	$s2	struct ModelArchiveType *	mad	1
LoadModelArchive	3DCTRL.C	reg	$s5	struct ParentingType *	prntp	1
LoadModelArchive	3DCTRL.C	reg	$s7	unsigned char *	tmdp	1
LoadModelArchive	3DCTRL.C	reg	$s3	short	i	1
LoadModelArchive	3DCTRL.C	reg	$v1	short	j	1
LoadModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	objp	3
LoadModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	dim	4
LoadModelArchive	3DCTRL.C	reg	$s2	struct ModelType *	dim	2
LoadModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	objp	2
LoadModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	dim	3
DrawModelArchive	3DCTRL.C	param	$s2	struct ModelArchiveType *	mad	0
DrawModelArchive	3DCTRL.C	param	$s3	long	gap	0
DrawModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	objp	1
DrawModelArchive	3DCTRL.C	stack	sp+16	struct MATRIX	mat	1
DrawModelArchive	3DCTRL.C	stack	sp+48	struct SVECTOR	pos	1
DrawModelArchive	3DCTRL.C	reg	$s1	short	i	1
DrawModelArchive	3DCTRL.C	reg	$s2	struct ModelType *	objp	2
DrawModelArchive	3DCTRL.C	reg	$v1	long	sz	3
DrawModelArchive	3DCTRL.C	reg	$s0	short	atr	3
DrawModelArchive	3DCTRL.C	stack	sp+56	short [2]	rxy	3
DisposeModelArchive	3DCTRL.C	param	$a0	struct ModelArchiveType *	mad	0
CreateCloneModelArchive	3DCTRL.C	param	$s5	struct ModelArchiveType *	mad	0
CreateCloneModelArchive	3DCTRL.C	reg	$s1	struct ModelArchiveType *	newmad	1
CreateCloneModelArchive	3DCTRL.C	reg	$s4	short	i	1
CreateCloneModelArchive	3DCTRL.C	reg	$s1	struct ModelType *	dim	2
CreateCloneModelArchive	3DCTRL.C	reg	$s2	struct ModelType *	objp	2
CreateCloneModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	objp	5
CreateCloneModelArchive	3DCTRL.C	reg	$s0	struct ModelType *	dim	6
LoadOrnament	3DCTRL.C	param	$a0	unsigned long *	adr	0
DrawOrnament	3DCTRL.C	param	$a0	struct OrnamentType *	objp	0
DrawOrnament	3DCTRL.C	stack	sp+16	struct MATRIX	mat	1
DisposeOrnament	3DCTRL.C	param	$a0	struct OrnamentType *	objp	0
CreateCloneOrnament	3DCTRL.C	param	$a0	struct OrnamentType *	objp	0
UpdateOrnament	3DCTRL.C	param	$a0	struct OrnamentType *	objp	0
UpdateOrnament	3DCTRL.C	param	$a1	short	ry	0
UpdateOrnament	3DCTRL.C	stack	sp+16	struct SVECTOR	rotv	1
SetupSprite	3DCTRL.C	param	$s0	struct Sprite3D *	orgsprt	0
SetupSprite	3DCTRL.C	param	$s3	struct GsIMAGE *	image	0
SetupSprite	3DCTRL.C	reg	$s2	struct Sprite3D *	sprt	1
