# Retail functions still named FUN_/DEAD_ for which PSX.SYM's TU
# alignment offers no candidate at all.  Most are library code (no
# debug info) or functions added after the demo.  Try, in order:
#   tools/xbuildnames.py   (instruction identity vs demo PSX.EXE)
#   tools/callmatch.py     (call signature -- survives a rewritten body)
#addr	size	name
80018f00	272	stop_access_meter_
800190f4	324	draw_loading_splash_
8001b174	48	get_pad_active_
8001b2b8	60	save_pad_analog_
8001b2f4	112	remap_buttons_
8001b4bc	36	clear_pad_send_
8001b4e0	52	get_pad_record_
8001c730	220	eval_spline_gte_
80026f4c	8	nop_26f4c_
800270f8	280	set_model_hide_
80027304	104	publish_ground_point_
8002fd9c	792	camera_terrain_pitch_
80030644	296	push_from_walls_
80033bc0	848	spawn_smoke_burst_
80036284	728	draw_fade_
80037e0c	896	spawn_damage_effect_
80038c0c	212	draw_shade_quad_
80038ce0	48	clear_screen_
80038fdc	192	set_fade_
8003944c	248	set_impact_ex_
80039c14	64	reset_effects_
80039ddc	468	trace_ground_
80039fb0	408	draw_sprite_pair_
8003a148	352	draw_sprite_coord_
8003cd04	88	load_save_slot_
8004a368	128	spare_item_slot_
8004a598	52	get_henshin_type_
8004a6bc	212	init_lifebar_
8004c024	32	return_to_menu_proc_
8004c350	588	proc_misc_bonfire_
8004c59c	412	proc_misc_sound_
8004d6d4	416	proc_misc_puff_
8004f4f8	160	load_background_
8004f598	68	load_archive_sprite_
8004f68c	52	apply_cd_volume_
8004f6c0	176	exec_process_
8004f770	68	search_id_table_
8004fbf4	20	set_cda_volume_
8004fc08	104	apply_cda_attr_
800514d0	8	nop_514d0_
800514d8	216	score_screen_input_
800515b0	1036	draw_time_
800519bc	1448	briefing_screen_
80052ea8	1244	award_stage_items_
800565f0	76	apply_purchases_
800566c0	60	backup_shop_stock_
800566fc	160	return_to_menu_
8005679c	284	draw_digits_
800568b8	88	clamp_shop_stock_
80056910	300	tile_sprite_
80056e30	148	check_card_file_
800570b8	352	draw_telop_line_
800576e8	164	telop_text_width_
8005778c	388	draw_glyph_
80057b80	3796	subdivide_quad_
80058a54	540	decode_tmd_adiv_
80058c70	920	adiv_tng4_
80059008	920	adiv_tnf4_
800593a0	636	decode_tmd_fast_
8005961c	1260	fast_tng4_
80059b08	1260	fast_tnf4_
80059ff4	984	fast_tnf3_
8005a3cc	984	fast_tng3_
8005a7a4	1024	update_card_screen_
8005aba4	536	update_card_message_
8005adbc	960	setup_card_screen_
8005b17c	1036	draw_card_help_
8005e8f0	88	set_boot_exec_
8005e948	8	cb_nop_
8005f380	472	cd_read_sectors_
8005f7d0	36	cd_read_at_
8005fe38	80	debug_printf_
8005fe88	68	debug_msg_open_
